epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8943,0.87601,2.6266,1.53575,0.44902,0.55,0.47112,0.37517,1.18062,4.20781,1.84911,0.00028339,0.00028339,0.00028339
2,62.3687,0.78107,2.12517,1.40899,0.21523,0.57917,0.26367,0.16398,1.63946,3.6457,2.5862,0.000564196,0.000564196,0.000564196
3,110.755,0.75751,1.79607,1.40334,0.12278,0.47292,0.11148,0.04532,2.82866,12.5161,3.40301,0.000825198,0.000825198,0.000825198
4,154.613,0.92122,1.80134,1.46695,0.21096,0.68656,0.32759,0.11869,2.15363,25.5164,3.12193,0.0010664,0.0010664,0.0010664
5,185.942,1.10368,1.90477,1.64258,0.02551,0.34375,0.08346,0.03129,2.07201,48.8866,3.1315,0.00128779,0.00128779,0.00128779
6,209.295,1.08654,1.86048,1.61609,0.025,0.125,0.02973,0.01399,1.9316,160.091,12.8131,0.00139195,0.00139195,0.00139195
7,229.971,1.17341,1.89983,1.64805,0.05044,0.34375,0.06998,0.02811,2.45885,164.916,9.56375,0.00133693,0.00133693,0.00133693
8,249.646,1.11265,1.93559,1.64396,0.04399,0.28542,0.02168,0.00492,3.20213,16.3983,5.45159,0.00128192,0.00128192,0.00128192
9,269.574,1.03743,1.72047,1.61045,0.01435,0.22292,0.01006,0.00297,3.28609,39.3432,4.9034,0.00122691,0.00122691,0.00122691
10,289.562,1.01662,1.68056,1.59504,0.05074,0.64375,0.06285,0.02118,2.42353,15.4679,5.82466,0.0011719,0.0011719,0.0011719
11,309.08,1.02611,1.62393,1.56797,0.36064,0.41458,0.31227,0.19801,1.57602,3.00959,2.51377,0.00111689,0.00111689,0.00111689
12,322.621,0.89863,1.5735,1.50499,0.5685,0.48125,0.38425,0.25572,1.57039,3.2946,2.58548,0.00106188,0.00106188,0.00106188
13,336.38,0.83446,1.44936,1.45778,0.75426,0.51491,0.53548,0.33829,1.41851,1.89997,2.3329,0.00100687,0.00100687,0.00100687
14,350.151,0.90117,1.56622,1.49605,0.34065,0.58305,0.46592,0.32373,1.47117,2.1142,2.11824,0.000951857,0.000951857,0.000951857
15,364.037,0.84866,1.4468,1.45749,0.70433,0.58125,0.54556,0.38775,1.32281,1.81839,2.25189,0.000896846,0.000896846,0.000896846
16,378.393,0.71875,1.42432,1.37812,0.79305,0.57649,0.58922,0.41322,1.37021,1.91943,2.52882,0.000841835,0.000841835,0.000841835
17,392.442,0.79022,1.36586,1.42539,0.73801,0.5779,0.61253,0.44181,1.34351,1.99636,2.37424,0.000786824,0.000786824,0.000786824
18,406.395,0.77745,1.40309,1.39325,0.67181,0.54792,0.59656,0.34994,1.513,2.04682,2.42303,0.000731813,0.000731813,0.000731813
19,420.239,0.79563,1.51995,1.42712,0.79547,0.61458,0.59798,0.35158,1.59849,1.93802,2.40341,0.000676802,0.000676802,0.000676802
20,433.833,0.72216,1.30656,1.34857,0.86812,0.61458,0.61185,0.42401,1.33177,1.73801,2.32285,0.000621791,0.000621791,0.000621791
21,452.527,1.00014,1.85825,1.76875,0.75061,0.6125,0.62223,0.43082,1.2651,1.6721,2.20274,0.00056678,0.00056678,0.00056678
22,466.965,0.86279,1.60817,1.64228,0.67665,0.57917,0.63015,0.44307,1.17986,1.65886,2.07895,0.000511769,0.000511769,0.000511769
23,481.148,0.7964,1.60989,1.58037,0.73879,0.58125,0.65188,0.47882,1.19643,1.6639,2.09792,0.000456758,0.000456758,0.000456758
24,495.338,0.81705,1.49337,1.65602,0.67523,0.58125,0.65953,0.49273,1.23406,1.71394,2.0713,0.000401747,0.000401747,0.000401747
25,509.606,0.83911,1.53065,1.60288,0.73237,0.63942,0.68208,0.48968,1.36729,1.69978,2.1507,0.000346736,0.000346736,0.000346736
26,523.714,0.81172,1.44559,1.56795,0.69453,0.61009,0.65777,0.44881,1.43719,1.71878,2.19536,0.000291725,0.000291725,0.000291725
27,538.042,0.77279,1.39837,1.58885,0.82957,0.58125,0.659,0.48671,1.1516,1.49888,1.96327,0.000236714,0.000236714,0.000236714
28,552.363,0.64677,1.34242,1.46781,0.76329,0.58125,0.65603,0.46981,1.19476,1.58242,1.97857,0.000181703,0.000181703,0.000181703
29,566.705,0.75298,1.31457,1.5504,0.7442,0.58125,0.65807,0.4777,1.17938,1.55741,1.97063,0.000126692,0.000126692,0.000126692
30,580.991,0.69893,1.34222,1.48736,0.77356,0.58125,0.66536,0.49081,1.15632,1.53802,1.95534,7.1681e-05,7.1681e-05,7.1681e-05
